-1,-1,-1
-1,-1,6.12323399573677e-17
-1,-1,1
-1,6.12323399573677e-17,-1
-1,6.12323399573677e-17,6.12323399573677e-17
-1,6.12323399573677e-17,1
-1,1,-1
-1,1,6.12323399573677e-17
-1,1,1
6.12323399573677e-17,-1,-1
6.12323399573677e-17,-1,6.12323399573677e-17
6.12323399573677e-17,-1,1
6.12323399573677e-17,6.12323399573677e-17,-1
6.12323399573677e-17,6.12323399573677e-17,6.12323399573677e-17
6.12323399573677e-17,6.12323399573677e-17,1
6.12323399573677e-17,1,-1
6.12323399573677e-17,1,6.12323399573677e-17
6.12323399573677e-17,1,1
1,-1,-1
1,-1,6.12323399573677e-17
1,-1,1
1,6.12323399573677e-17,-1
1,6.12323399573677e-17,6.12323399573677e-17
1,6.12323399573677e-17,1
1,1,-1
1,1,6.12323399573677e-17
1,1,1
