t median min max
0.01 NaN NaN NaN
0.0162377673918872 6.41642769187288e-06 6.21030471528453e-06 6.62910341224612e-06
0.0263665089873036 1.03392107612093e-05 8.02646327343455e-06 1.07129499129815e-05
0.042813323987194 1.61861566676231e-05 1.28204191820119e-05 1.65738407000911e-05
0.0695192796177561 2.52159228383112e-05 2.04337878062079e-05 3.45515611034876e-05
0.112883789168469 6.14568764790878e-05 3.87048640991043e-05 9.41040848762672e-05
0.183298071083244 0.000105061387044111 8.40977886041811e-05 0.000111998679100472
0.297635144163132 9.25836833050588e-05 2.98803978516492e-05 0.000110639676980278
0.483293023857175 5.92281620859406e-05 2.26199625385558e-05 8.23829061792625e-05
0.784759970351461 4.2672683325872e-05 3.04515460181594e-05 5.35059920933721e-05
1.27427498570313 4.15326659165856e-05 2.76429944459423e-05 5.53217838101758e-05
2.06913808111479 3.89369376307737e-05 2.96585304951374e-05 4.68162126506527e-05
3.35981828628378 2.96887580111001e-05 1.42263362325258e-05 4.06623138739409e-05
5.45559478116852 1.52778207450195e-05 1.4764233095903e-06 2.47549617658001e-05
8.85866790410082 7.65743724708082e-06 6.71257154401073e-08 1.5945449166021e-05
14.3844988828766 1.48488272022036e-06 8.48132759689782e-08 6.98188478469528e-06
23.3572146909012 2.36355089770059e-06 1.06366366483233e-06 5.93479323156885e-06
37.9269019073225 2.72600008636387e-06 1.07619085373984e-06 5.32267939630599e-06
61.5848211066026 1.90688504975543e-06 8.58018879792326e-07 5.34380772978953e-06
100 2.0366055864672e-06 2.24688162051211e-07 5.22498186585839e-06
