t mean min max
0.01 NaN NaN NaN
0.0162377673918872 Inf Inf Inf
0.0263665089873036 Inf Inf Inf
0.042813323987194 Inf Inf Inf
0.0695192796177561 Inf Inf Inf
0.112883789168469 Inf Inf Inf
0.183298071083244 Inf Inf Inf
0.297635144163132 Inf Inf Inf
0.483293023857175 Inf Inf Inf
0.784759970351461 Inf Inf Inf
1.27427498570313 Inf Inf Inf
2.06913808111479 Inf Inf Inf
3.35981828628378 Inf Inf Inf
5.45559478116852 Inf Inf Inf
8.85866790410082 Inf Inf Inf
14.3844988828766 Inf Inf Inf
23.3572146909012 Inf Inf Inf
37.9269019073225 Inf Inf Inf
61.5848211066026 Inf Inf Inf
100 Inf Inf Inf
