t mean min max
0.01 1.01125554480001e-05 1.01125554480001e-05 1.01125554480001e-05
0.0162377673918872 1.31596968869744e-05 1.29118000301404e-05 1.34089889698392e-05
0.0263665089873036 1.52393639002869e-05 1.37364565949332e-05 1.644401825436e-05
0.042813323987194 2.22147372597828e-05 2.00468362066424e-05 2.38582944073652e-05
0.0695192796177561 3.57691925634834e-05 2.96571911617664e-05 4.34825096462175e-05
0.112883789168469 8.49860238737292e-05 5.8494864181494e-05 0.000114040775903181
0.183298071083244 0.000128153170655943 0.000108764066251185 0.000137751173203263
0.297635144163132 9.08054374596941e-05 5.04047523832357e-05 0.000128888139176206
0.483293023857175 7.56350304774956e-05 4.50310701213583e-05 0.00010768369431236
0.784759970351461 6.26768713272057e-05 4.78655396932064e-05 7.52580043553375e-05
1.27427498570313 6.13596569171712e-05 4.31375513847188e-05 7.97205222869494e-05
2.06913808111479 5.67421598617147e-05 4.78899439088388e-05 6.87420445111237e-05
3.35981828628378 4.35522377310894e-05 3.40675976707705e-05 5.31074965183161e-05
5.45559478116852 2.33416100671392e-05 1.26118989896052e-05 3.27776665819273e-05
8.85866790410082 1.39567242553584e-05 3.293975471421e-06 2.50284903658404e-05
14.3844988828766 3.97602910372252e-06 2.65125808312739e-07 9.34888698825782e-06
23.3572146909012 4.25448096148961e-07 2.20180432927063e-07 8.51522527535159e-07
37.9269019073225 6.67746675290905e-09 4.42909521653236e-11 2.46606600314097e-08
61.5848211066026 6.12371075757818e-09 7.14164170370161e-11 2.22159578430166e-08
100 6.27355966272924e-09 5.73073829858155e-11 2.43813193975991e-08
