t error est_union est_simple est_simple2 eff eff_simple eff_simple2
0.01 4.14201963027806e-05 NaN NaN NaN NaN NaN NaN
0.0162377673918872 1.31636981824278e-05 8.02069981442768e-05 2.96197058788925e-05 2.96176504115853e-05 6.09304444941963 2.25010521119604 2.24994906455102
0.0263665089873036 1.54917968126402e-05 6.41283100477343e-05 1.85548221832243e-05 1.854873020029e-05 4.13950110650883 1.19771918052042 1.19732594124624
0.042813323987194 2.29780969468838e-05 9.3397609917764e-05 3.55378829504448e-05 3.55452843313682e-05 4.0646364289289 1.54659818141573 1.54692028732991
0.0695192796177561 3.9995592265297e-05 9.98218969461791e-05 2.77019668389602e-05 2.76658717017555e-05 2.49582244673475 0.692625493709625 0.691723015832432
0.112883789168469 0.000108030658565401 0.000243725134553511 8.61447518518739e-05 8.60796162137265e-05 2.2560737645227 0.797410225910289 0.796807289308658
0.183298071083244 0.00026002555808041 0.000452216741065723 0.000251669981231829 0.000251489790930076 1.73912420149822 0.967866324717215 0.9671733532144
0.297635144163132 0.000690576944119756 0.000854239218313631 0.000700569169359379 0.000700222578655226 1.23699353936944 1.01446938726337 1.01396750154722
0.483293023857175 0.000136541359784076 0.00128104681882798 0.00106463270723307 0.00106439624537244 9.38211557914615 7.79714446169759 7.7954126651123
0.784759970351461 0.000387066643190089 0.000686744178302392 0.00039125818302245 0.00039259916922685 1.77422723033545 1.01082898747827 1.01429347150962
1.27427498570313 0.00133821631226704 0.0015204710873577 0.00122392232184153 0.00122361253183042 1.13619231317089 0.914592290216606 0.914360795496154
2.06913808111479 0.00140001164839992 0.00177716562091564 0.00129307541891006 0.00129178573728532 1.2693934532236 0.923617614459078 0.922696420963147
3.35981828628378 0.00212294346604707 0.00239493541044947 0.00201243379282974 0.0020102487359053 1.12812020138664 0.947945070142119 0.946915811963846
5.45559478116852 0.000407457761760571 0.000753331688337792 0.000387920132314966 0.000389837935398937 1.84885835793812 0.952049926939211 0.956756680040893
8.85866790410082 0.00045309597818753 0.000700190129498846 0.000429966353030328 0.000434667228544241 1.54534615888612 0.948952040471149 0.95932705093299
14.3844988828766 0.000471540116959394 0.000616934000039618 0.000444013526789059 0.000445880605025577 1.30833831067812 0.941624075703606 0.945583607818408
23.3572146909012 0.000473095471297947 0.000572099395287346 0.000444444415116011 0.000445296769981461 1.2092683823791 0.939439166256801 0.941240821350035
37.9269019073225 0.000473124541935156 0.000551823269192163 0.000443986606242577 0.000443925199913487 1.16633828998833 0.938413814735967 0.938284025803779
61.5848211066026 0.000473124411465474 0.000526185112723855 0.000443529501056733 0.000443344890730109 1.11214957413427 0.9374479318937 0.937057737851393
100 0.000473125553308631 0.000540208523929626 0.000443582450497698 0.000445505913216649 1.14178682624913 0.93755758359629 0.941623021840958
