t pi pi_I pi_I_delta pi_delta E pi_simple pi_ts_simple pi_simple2 pi_ts_simple2
0.0105360515657826 8.92697030184671e-05 4.49041566637139e-05 3.61221695928203e-05 8.24337676193294e-06 0.000361221695928203 5.31475334256468e-05 8.24337676193294e-06 5.31475334256468e-05 8.24337676193294e-06
0.0231793134447218 0.000249535922744953 0.000224333444978945 2.05205980140746e-05 4.68187975193345e-06 0.000205205980140746 0.000229015324730878 4.68187975193345e-06 0.000229015324730878 4.68187975193345e-06
0.0168576825052522 7.92216618190683e-05 2.04850184903952e-05 4.5596399546469e-05 1.31402437822041e-05 0.00045596399546469 2.70616590863636e-05 6.5766405959684e-06 2.70593801397937e-05 6.57436164939848e-06
0.0244436396326157 5.37324364391109e-05 1.04095504809156e-05 3.36452937294781e-05 9.67759222871722e-06 0.000336452937294781 1.52535583045581e-05 4.84400782364248e-06 1.5247117252097e-05 4.83756677118136e-06
0.0335467881854519 0.000102948043087108 2.18099066997235e-05 6.30117563343031e-05 1.81263800530817e-05 0.000630117563343031 3.08822308539155e-05 9.07232415419201e-06 3.08774423483368e-05 9.06753564861333e-06
0.0444705664488553 9.16895947852351e-05 2.94145244394684e-05 4.83748272016319e-05 1.39002431441348e-05 0.000483748272016319 3.63705074075413e-05 6.95598296807291e-06 3.63800888477604e-05 6.96556440829207e-06
0.0575791003649394 4.52265352880725e-05 1.06958855068808e-05 2.68156400443771e-05 7.7150097368146e-06 0.000268156400443771 1.45580982896505e-05 3.8622127827697e-06 1.45465505024071e-05 3.85066499552624e-06
0.0733093410642404 0.000117151601215773 2.1145271005419e-05 7.45768547905975e-05 2.1429475419757e-05 0.000745768547905975 3.18741043246386e-05 1.07288333192196e-05 3.18302173475686e-05 1.06849463421496e-05
0.0921856299034015 0.000221025482065963 4.991522746549e-05 0.000132861096168378 3.82491584320949e-05 0.00132861096168378 6.90670172005053e-05 1.91517897350153e-05 6.89648989813311e-05 1.90496715158412e-05
0.114837176510395 0.000245867412679186 6.78387797211979e-05 0.000138242187345605 3.97864456123832e-05 0.00138242187345605 8.77564618725352e-05 1.99176821513373e-05 8.76948164629016e-05 1.98560367417036e-05
0.142019032438787 0.000216748959704702 0.00011676821074506 7.76073823318878e-05 2.23733666277544e-05 0.000776073823318878 0.000127972474819343 1.12042640742829e-05 0.000127893445868815 1.11252351237553e-05
0.174637259552857 0.000408573486966749 0.000199726512160098 0.00016218327723128 4.66636975753705e-05 0.0016218327723128 0.000223096892784378 2.33703806242798e-05 0.000222910452375935 2.31839402158371e-05
0.213779132089742 0.000605815821942339 0.000320287740750182 0.00022173069768953 6.37973835026273e-05 0.0022173069768953 0.000352230771529036 3.19430307788547e-05 0.000352072577997751 3.17848372475695e-05
0.260749379134003 0.000710574801971 0.000512297416502218 0.000153964379645723 4.43130058230594e-05 0.00153964379645723 0.000534484662605667 2.2187246103449e-05 0.000534375411874061 2.20779953718435e-05
0.317113675587117 0.000930105120675384 0.000770320953257487 0.000123992701646549 3.57914657713481e-05 0.00123992701646549 0.000788274610232966 1.79536569754788e-05 0.000787802685701256 1.74817324437685e-05
0.384750831330853 0.00140627843121284 0.00111414510963718 0.000226823353386948 6.53099681887146e-05 0.00226823353386948 0.00114686238304567 3.27172734084903e-05 0.00114650450941631 3.23593997791322e-05
0.465915418223337 0.00178342694350666 0.00153893596424619 0.000189831676506589 5.4659302753876e-05 0.00189831676506589 0.00156630657986058 2.73706156143931e-05 0.0015661365394636 2.72005752174108e-05
0.563312922494317 0.00221856241150343 0.00205140906683429 0.000129479682413894 3.76736622552459e-05 0.00129479682413894 0.00207034918660609 1.89401197717988e-05 0.00206936179959552 1.79527327612364e-05
0.514614170358827 0.000375564106414539 0.000142981365266975 0.000165499772977749 6.70829681698153e-05 0.00165499772977749 0.000160422933360618 1.74415680936437e-05 0.000160066754409077 1.70853891421026e-05
0.573052672921415 0.000560858799701142 0.000298165143583355 0.000188299392335038 7.43942637827495e-05 0.00188299392335038 0.00031773512385323 1.95699802698746e-05 0.000316420145499661 1.8255001916306e-05
0.643178875996521 0.000916058281613933 0.000598431980812161 0.000223111599280622 9.45147015211503e-05 0.00223111599280622 0.00062310695967035 2.46749788581882e-05 0.000622065307477229 2.36333266650675e-05
0.727330319686648 0.00147617684646539 0.00116540927731822 0.000211726231342961 9.90413378042108e-05 0.00211726231342961 0.00119110903274967 2.56997554314542e-05 0.00119060674969371 2.51974723754979e-05
0.828312052114801 0.00240509631127507 0.002147914458517 0.000187712061315321 6.94697914427486e-05 0.00187712061315321 0.0021659988786322 1.80844201151983e-05 0.00216546884510989 1.75543865928899e-05
0.777821185900725 0.000683923296838845 0.000364171961207599 0.000215289757348097 0.000104461578283149 0.00215289757348097 0.000384830877916509 2.06589167089098e-05 0.000386446436354359 2.22744751467599e-05
0.838410225357616 0.000708555060444056 0.000423473774438085 0.000199975121993527 8.51061640124442e-05 0.00199975121993527 0.000440953711163476 1.74799367253909e-05 0.000440171721730456 1.66979472923716e-05
0.911117072705886 0.000816695899869139 0.00050154874405317 0.000222530763454704 9.26163923612649e-05 0.00222530763454704 0.00052105710173654 1.95083576833703e-05 0.00051868926858343 1.71405245302603e-05
0.99836528952381 0.000960616316673392 0.000612760901971926 0.000240546272763765 0.000107309141937701 0.00240546272763765 0.0006349111877758 2.2150285803874e-05 0.0006336566210506 2.0895719078674e-05
1.10306314970532 0.0011052743303118 0.000769300015906914 0.000224488886067879 0.00011148542833701 0.00224488886067879 0.000791610711162866 2.23106952559523e-05 0.000792610890442034 2.33108745351201e-05
1.22870058192313 0.00138054269494221 0.00105285631556745 0.000225408618225295 0.000102277761149466 0.00225408618225295 0.0010734746770004 2.06183614329515e-05 0.00107374671351233 2.08903979448808e-05
1.3794655005845 0.00184344052686499 0.00155418530002803 0.000208010424214118 8.12448026228453e-05 0.00208010424214118 0.00157117130177159 1.69860017435597e-05 0.00156951859498145 1.53332949534205e-05
1.56038340297815 0.00274832903994734 0.00237846457051092 0.000253630839343775 0.000116233630092649 0.00253630839343775 0.00240183479561841 2.33702251074945e-05 0.00240234570271918 2.38811322082585e-05
1.77748488585052 0.00394825359587116 0.00361682219856424 0.000223855020984037 0.000107576376322883 0.00223855020984037 0.00363805517823515 2.12329796709121e-05 0.00363981931843873 2.29971198744946e-05
1.66893414441434 0.00139480281243909 0.000853633023276462 0.000376868087451685 0.000164301701710939 0.00376868087451685 0.000873020951485786 1.93879282093238e-05 0.000877276198633593 2.3643175357131e-05
1.79919503413776 0.00153144391911783 0.00100454103847579 0.000364084061784325 0.000162818818857713 0.00364084061784325 0.00102403730425325 1.94962657774565e-05 0.0010272441670068 2.27031285310086e-05
1.95550810180587 0.00172203881942788 0.0011671453509061 0.000398486688707507 0.000156406779814272 0.00398486688707507 0.00118653345643049 1.93881055243815e-05 0.00118651355549295 1.93682045868477e-05
2.1430837830076 0.0018130398686618 0.00134551222420255 0.000335458582722388 0.000132069061736863 0.00335458582722388 0.00136240853191866 1.68963077161127e-05 0.00136029252941684 1.47803052142992e-05
2.36817460044968 0.00204178699524537 0.00152865486537828 0.000351908395902777 0.000161223733964308 0.00351908395902777 0.0015478861427188 1.92312773405187e-05 0.00155121683087061 2.25619654923299e-05
2.63828358138018 0.00219666887742158 0.0017040684285803 0.000342954902594035 0.000149645546247248 0.00342954902594035 0.00172171013647904 1.76417078987374e-05 0.0017258145323665 2.17461037862024e-05
2.96241435849677 0.00234561721016542 0.0018582180426872 0.00034707129922133 0.000140327868256894 0.0034707129922133 0.00187549335225952 1.72753095723188e-05 0.00187574300979486 1.75249671076652e-05
3.35137129103669 0.00239170380387736 0.00199569249039952 0.000284808643939175 0.000111202669538666 0.00284808643939175 0.00201005212637349 1.43596359739744e-05 0.00200771843708845 1.20259466889342e-05
3.81811961008458 0.0025702698964621 0.00212627539241158 0.000309652295748637 0.000134342208301881 0.00309652295748637 0.00214165381223543 1.53784198238535e-05 0.00214753297289729 2.12575804857151e-05
4.37821759294206 0.00262978279613156 0.00226378374994577 0.00025604766688459 0.000109951379301191 0.0025604766688459 0.00227708258588293 1.32988359371518e-05 0.00227801236172551 1.42286117797355e-05
5.05033517237103 0.00267758505535502 0.00241880516592278 0.000184240697500273 7.45391919319636e-05 0.00184240697500273 0.00242859773066952 9.79256474674001e-06 0.00242641098829807 7.60582237528623e-06
4.71427638265654 0.000775012326832367 0.000356207313885821 0.000299090511218337 0.000119714501728209 0.00299090511218337 0.00036606429271369 9.85697882786926e-06 0.00036665034066537 1.0443026779549e-05
5.11754693031392 0.000702564552800545 0.000376488175262396 0.000229155463112764 9.6920914425385e-05 0.00229155463112764 0.000384646285900273 8.1581106378772e-06 0.000383906061733303 7.41788647090713e-06
5.60147158750278 0.000775239082750123 0.000379920932766382 0.000275898525153934 0.000119419624829807 0.00275898525153934 0.00038933288574084 9.41195297445807e-06 0.00039239769959721 1.24767668308281e-05
6.18218117612941 0.000740314434010363 0.000395538219995792 0.000232866952241606 0.000111909261772965 0.00232866952241606 0.000404033676949172 8.49545695337986e-06 0.000409411004707825 1.38727847120327e-05
6.87903268248137 0.000695371599195891 0.000410716677414733 0.000200633870777903 8.40210510032553e-05 0.00200633870777903 0.000417565533404977 6.84885599024436e-06 0.00041805510564838 7.33842823364743e-06
7.71525449010371 0.000619207428169974 0.000412667691229823 0.000149033226198006 5.75065107421458e-05 0.00149033226198006 0.000417679170464103 5.01147923428041e-06 0.000416067044640684 3.3993534108615e-06
8.71872065925053 0.000703994325635768 0.000421908991815186 0.000195900437215462 8.61848966051201e-05 0.00195900437215462 0.000428452909537198 6.54391772201194e-06 0.000433585917940683 1.16769261254967e-05
9.92288006222671 0.000671261572990725 0.000435577788640734 0.000162275775477412 7.34080088725798e-05 0.00162275775477412 0.000441475153848438 5.89736520770406e-06 0.00044288992626329 7.31213762255677e-06
11.3678713457981 0.000613789467972989 0.000437284604947724 0.00013238633719084 4.41185258344247e-05 0.0013238633719084 0.000441307547644373 4.02294269664849e-06 0.000439290667213214 2.00606226548923e-06
13.1018608860838 0.000658792109313876 0.00043816919820715 0.000149671051431454 7.09518596752723e-05 0.00149671051431454 0.000443467425958195 5.29822775104472e-06 0.00044851303252979 1.03438343226406e-05
15.1826483344267 0.000590886879149929 0.000440710661622596 0.00010631490836367 4.38613091636631e-05 0.0010631490836367 0.000444353349934589 3.64268831199275e-06 0.000444242519631268 3.53185800867194e-06
17.6795932724381 0.000560005215168571 0.000440594206174981 7.92060955770045e-05 4.02049134165853e-05 0.000792060955770045 0.00044360641806869 3.01221189370916e-06 0.000445875375771848 5.2811695968666e-06
20.6759271980518 0.000608776878879944 0.000441273771109599 0.000116161743785599 5.13413639847458e-05 0.00116161743785599 0.000445464106593385 4.1903354837854e-06 0.00044598056941643 4.70679830683116e-06
24.2715279087882 0.000559592452955732 0.000441277274299444 8.32333002161062e-05 3.50818784401818e-05 0.000832333002161062 0.000444096702534494 2.81942823504994e-06 0.000445063595857671 3.78632155822682e-06
28.5862487616719 0.000572523609143177 0.00044121415023785 8.8586581626836e-05 4.27228772784909e-05 0.00088586581626836 0.000444518378151162 3.30422791331229e-06 0.000445248966457065 4.03481621921532e-06
33.7639137851323 0.00058139782064843 0.000441264266478201 9.74747538375811e-05 4.26588003326484e-05 0.000974747538375811 0.000444576068021728 3.31180154352759e-06 0.000446157959309772 4.89369283157143e-06
39.9771118132849 0.000537258241241007 0.000441250703723789 7.04983640339291e-05 2.55091734832884e-05 0.000704983640339291 0.000443696305059069 2.44560133527934e-06 0.000442825599026448 1.57489530265897e-06
47.4329494470679 0.000564234755890441 0.000441249524774631 8.00702306077275e-05 4.29150005080818e-05 0.000800702306077275 0.000444199780412831 2.95025563819946e-06 0.000447520259031023 6.27073425639148e-06
56.3799546076076 0.0005389472600563 0.000441252031051952 6.55343270248966e-05 3.21609019794517e-05 0.000655343270248966 0.000443807389348827 2.55535829687571e-06 0.000444365786207836 3.11375515588454e-06
67.1163608002552 0.000512621974349549 0.000441257064662744 5.10049149412083e-05 2.03599947455959e-05 0.000510049149412083 0.000443234171653295 1.9771069905502e-06 0.000442259920758408 1.00285609566384e-06
80.0000482314323 0.000549895188325305 0.00044125754202462 7.38059509959022e-05 3.4831695304783e-05 0.000738059509959022 0.000443817049372225 2.55950734760554e-06 0.000445054014738933 3.79647271431337e-06
95.4604731488448 0.000542820153641862 0.000441257169550412 6.75804152421061e-05 3.39825688493437e-05 0.000675804152421061 0.000443631062790513 2.37389324010098e-06 0.000446549307603948 5.2921380535361e-06
114.01298304974 0.00053214673156894 0.000441256262915588 6.28366651010417e-05 2.80538035523101e-05 0.000628366651010417 0.000443432390093263 2.17612717767492e-06 0.000442285078018879 1.02881510329101e-06
