t mean min max zero
0.0105360515657826 8.24209999155064e-06 8.24209999155064e-06 8.24209999155064e-06 8.24209999155064e-06
0.0168576825052522 6.57496809385776e-06 6.53576513594857e-06 6.61522999789446e-06 6.5725469615008e-06
0.0244436396326157 4.84371676787559e-06 4.81235961213878e-06 4.87767380635785e-06 4.83726477435298e-06
0.0335467881854519 9.06978539211448e-06 9.05834679741751e-06 9.08292696871253e-06 9.06479789775655e-06
0.0444705664488553 6.95322790264888e-06 6.89565315482066e-06 7.00410448276035e-06 6.9625832476451e-06
0.0575791003649394 3.86162747074319e-06 3.8149957733656e-06 3.90985206588913e-06 3.85003470043721e-06
0.0733093410642404 1.07326770921976e-05 1.05584033431028e-05 1.09139351900931e-05 1.06891125933304e-05
0.0921856299034015 1.91522543294702e-05 1.89568635483321e-05 1.94719673479264e-05 1.90501762835884e-05
0.114837176510395 1.99136935852793e-05 1.98517146266606e-05 1.99762925082849e-05 1.98517146266606e-05
0.142019032438787 1.1199240243838e-05 1.10953669649742e-05 1.13121817096919e-05 1.11197211810098e-05
0.174637259552857 2.33771594056855e-05 2.27066518416121e-05 2.40675662158019e-05 2.31913014029282e-05
0.213779132089742 3.19438251691861e-05 3.15875149379985e-05 3.23273357641467e-05 3.17857095137834e-05
0.260749379134003 2.21813798212411e-05 2.18891893357885e-05 2.24017615969836e-05 2.20715778079088e-05
0.317113675587117 1.79603494117272e-05 1.63292686438358e-05 1.95365745615398e-05 1.74890428880932e-05
0.384750831330853 3.272045390305e-05 3.09456826461592e-05 3.45424515865537e-05 3.23629265163519e-05
0.465915418223337 2.7367825375365e-05 2.60081585801436e-05 2.87938557964011e-05 2.71975856761272e-05
0.514614170358827 1.7440368349591e-05 1.58403300521403e-05 2.13528311949678e-05 1.70816665754035e-05
0.573052672921415 1.95705294767974e-05 1.69517341685328e-05 2.67813686507262e-05 1.82566020045381e-05
0.643178875996521 2.46757954512036e-05 1.95921940809655e-05 3.41560233197565e-05 2.36357667019835e-05
0.727330319686648 2.56995711952827e-05 1.97806149409544e-05 3.41487000922619e-05 2.51970741727422e-05
0.777821185900725 2.06581913473106e-05 1.0978800829309e-05 2.98393163199632e-05 2.22724131332725e-05
0.838410225357616 1.74791796891155e-05 1.34974975018271e-05 2.46524447814502e-05 1.6695573844114e-05
0.911117072705886 1.9510092683023e-05 1.49247398038194e-05 2.9636464431671e-05 1.71452044864562e-05
0.99836528952381 2.21507989977357e-05 1.62732021331414e-05 3.3142100261721e-05 2.08972289668727e-05
1.10306314970532 2.23108968120123e-05 1.18635719834656e-05 3.44250234399342e-05 2.33115662393282e-05
1.22870058192313 2.06177783868203e-05 1.34723927126944e-05 2.72565202893338e-05 2.08888055611438e-05
1.3794655005845 1.69862033069583e-05 1.2659653129031e-05 2.62137207442166e-05 1.53334168688584e-05
1.56038340297815 2.33700347916068e-05 1.58787086075318e-05 3.24409878810983e-05 2.38806125276343e-05
1.66893414441434 1.93879200951451e-05 1.01476054562338e-05 3.09591041120363e-05 2.36432261320368e-05
1.79919503413776 1.94960958067304e-05 1.01956811284819e-05 2.72248544965801e-05 2.27025906264544e-05
1.95550810180587 1.93876894991067e-05 1.45217827197764e-05 2.75838115877195e-05 1.93666870440382e-05
2.1430837830076 1.68963297517306e-05 1.21828537725992e-05 2.55577716810758e-05 1.47799779104686e-05
2.36817460044968 1.92324267778789e-05 1.13446122996306e-05 2.87717225233577e-05 2.25681312152693e-05
2.63828358138018 1.76415813399484e-05 8.56762543290628e-06 2.38531115690203e-05 2.17457062091847e-05
2.96241435849677 1.72750490810658e-05 1.02613768654804e-05 2.5799427951956e-05 1.7524015643611e-05
3.35137129103669 1.43598671050273e-05 1.04415086799208e-05 2.65834434244057e-05 1.20262671133258e-05
3.81811961008458 1.53784396262967e-05 8.78842310640744e-06 2.32231967201598e-05 2.12567399944051e-05
4.37821759294206 1.32987207449684e-05 7.00076120131597e-06 2.21963787435409e-05 1.42282402588506e-05
4.71427638265654 9.85693639088161e-06 5.48138036028833e-06 1.9346135013117e-05 1.04426473890248e-05
5.11754693031392 8.15822408926003e-06 3.22040891644012e-06 2.15639733586159e-05 7.41828112530079e-06
5.60147158750278 9.41214819160401e-06 4.7785682115709e-06 1.9373693891166e-05 1.2478966863233e-05
6.18218117612941 8.49545168295976e-06 3.16677836356322e-06 1.50438967744268e-05 1.3872744511258e-05
