t mean min max zero
6.87903268248137 6.84885645387318e-06 3.45803685144424e-06 1.30105820523973e-05 7.33839501992655e-06
7.71525449010371 5.01153001531183e-06 2.19254576193153e-06 1.56486640614394e-05 3.39952924135039e-06
8.71872065925053 6.54396893787285e-06 1.89224821580381e-06 1.34276197197425e-05 1.16774146490758e-05
9.92288006222671 5.89749495034765e-06 1.80364990401338e-06 1.09092879130559e-05 7.31304899374957e-06
11.3678713457981 4.02292722653185e-06 1.5647316888149e-06 1.24256466253875e-05 2.00568717560237e-06
13.1018608860838 5.29819841426569e-06 1.0785109474946e-06 1.10311154509849e-05 1.03428746014331e-05
15.1826483344267 3.64288856255683e-06 9.06089134327591e-07 8.29682960811776e-06 3.5336239819841e-06
17.6795932724381 3.01205340422501e-06 3.26848141426335e-07 9.63344913220118e-06 5.27921524335035e-06
20.6759271980518 4.19072156339405e-06 5.88089641666966e-07 7.12348511314855e-06 4.70943923079978e-06
24.2715279087882 2.81899920158981e-06 5.14423405391546e-07 8.22519871900411e-06 3.78340835699497e-06
28.5862487616719 3.30474623069637e-06 4.1104273670019e-07 6.54135462859636e-06 4.03836147066019e-06
33.7639137851323 3.31147853019395e-06 4.34354168343199e-07 7.91832441951256e-06 4.8898140495453e-06
39.9771118132849 2.44597544286188e-06 2.59514739274301e-07 5.79725927911939e-06 1.57923718692212e-06
47.4329494470679 2.95072900739474e-06 1.95543741999226e-07 6.68021052611275e-06 6.27597505746387e-06
56.3799546076076 2.55450791195231e-06 3.28323405835414e-07 7.25803912870703e-06 3.10815532058398e-06
67.1163608002552 1.97766549361918e-06 2.73985285665864e-07 4.99339640295554e-06 1.00872622100146e-06
80.0000482314323 2.56059478004538e-06 1.63269168556226e-07 5.7646085245169e-06 3.8044430346468e-06
95.4604731488448 2.37462709839304e-06 1.64176997575793e-07 5.72672998305526e-06 5.29567013587749e-06
114.01298304974 2.17645445544542e-06 1.41196494998588e-07 5.70945833724235e-06 1.03222459716298e-06
